Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"10000",22.58935,135.9375,125,-10.9375,-0.00149,0.15682,0.54151,0.38916
"10100",22.63936,119.53125,125,5.46875,0.00084,0.15404,0.54573,0.38916
"10100",22.68866,121.875,125,3.125,0.00051,0.15759,0.54829,0.38916
"10200",22.74202,120.70312,125,4.29688,0.00068,0.16049,0.55169,0.38916
"10200",22.79563,128.90625,125,-3.90625,-0.00049,0.16156,0.54926,0.38916
"10300",22.84373,132.42188,125,-7.42188,-0.00099,0.15812,0.54431,0.38916
"10300",22.89613,117.1875,125,7.8125,0.00118,0.15751,0.55021,0.38916
"10400",22.94615,128.90625,125,-3.90625,-0.00049,0.16007,0.54777,0.38916
"10400",23.00191,122.46094,125,2.53906,0.00043,0.15947,0.54992,0.38916
"10500",23.05359,135.9375,125,-10.9375,-0.00149,0.15778,0.54247,0.38916
"10500",23.09978,127.73438,125,-2.73438,-0.00032,0.15266,0.54085,0.38916
"10600",23.15003,112.5,125,12.5,0.00185,0.15538,0.55008,0.38916
"10600",23.19861,123.63281,125,1.36719,0.00026,0.16145,0.5514,0.38916
"10700",23.25509,118.94531,125,6.05469,0.00093,0.1641,0.55606,0.38916
"10700",23.30582,137.10938,125,-12.10938,-0.00166,0.16359,0.54778,0.38916
"10800",23.35511,125.39062,125,-0.39062,0.00001,0.15865,0.54785,0.38916
"10800",23.40872,119.53125,125,5.46875,0.00085,0.16038,0.55208,0.38916
"10900",23.45921,131.83594,125,-6.83594,-0.0009,0.16111,0.54756,0.38916
"10900",23.51616,123.63281,125,1.36719,0.00026,0.15892,0.54887,0.38916
"11000",23.56426,139.45312,125,-14.45312,-0.00199,0.15573,0.53892,0.38916
"11000",23.61284,118.35938,125,6.64062,0.00101,0.15178,0.54397,0.38916
"11100",23.66214,118.35938,125,6.64062,0.00101,0.15683,0.54903,0.38916
"11100",23.71287,121.28906,125,3.71094,0.0006,0.16106,0.55202,0.38916
"11200",23.76863,123.04688,125,1.95312,0.00035,0.16355,0.55375,0.38916
"11200",23.81697,137.10938,125,-12.10938,-0.00166,0.16128,0.54548,0.38916
"11300",23.87009,118.94531,125,6.05469,0.00093,0.15818,0.55013,0.38916
"11300",23.92082,129.49219,125,-4.49219,-0.00057,0.15982,0.54727,0.38916
"11400",23.97538,124.21875,125,0.78125,0.00018,0.15847,0.54817,0.38916
"11400",24.02803,133.00781,125,-8.00781,-0.00107,0.15686,0.5428,0.38916
"11500",24.07398,129.49219,125,-4.49219,-0.00057,0.15249,0.53993,0.38916
"11500",24.12423,113.08594,125,11.91406,0.00176,0.15429,0.54874,0.38916
"11600",24.17209,123.04688,125,1.95312,0.00035,0.16027,0.55047,0.38916
"11600",24.22761,117.77344,125,7.22656,0.0011,0.16351,0.55596,0.38916
"11700",24.27978,134.17969,125,-9.17969,-0.00124,0.16433,0.54978,0.38916
"11700",24.32788,128.90625,125,-3.90625,-0.00049,0.15964,0.54734,0.38916
"11800",24.38172,117.1875,125,7.8125,0.00118,0.16054,0.55325,0.38916
"11800",24.43197,131.83594,125,-6.83594,-0.0009,0.16228,0.54872,0.38916
"11900",24.48869,122.46094,125,2.53906,0.00043,0.16042,0.55088,0.38916
"11900",24.53798,139.45312,125,-14.45312,-0.00199,0.15774,0.54092,0.38916
"12000",24.58776,121.28906,125,3.71094,0.00059,0.15295,0.54389,0.38916
"12000",24.63801,121.28906,125,3.71094,0.0006,0.15592,0.54687,0.38916
"12100",24.6885,123.63281,125,1.36719,0.00026,0.15823,0.54818,0.38916
"12100",24.74546,122.46094,125,2.53906,0.00043,0.15988,0.55033,0.38916
"12200",24.79475,140.03906,125,-15.03906,-0.00208,0.15702,0.53996,0.38916
